Xiaomi,MI 2,36912,201206
Xiaomi,Redmi 1S,29339,
Xiaomi,MI 3W,22584,
Xiaomi,MI 2S,20915,
Xiaomi,MI 2013023,19298,
Xiaomi,MI 2A,13603,
Xiaomi,MI 4,9372,201206
Xiaomi,MI 2013029,9092,
Xiaomi,MI 3S,9019,
Xiaomi,H3,6684,
Xiaomi,MI 2014021,6491,
Xiaomi,Redmi Note,5552,
Xiaomi,MI 2S/MI 3/Redmi,4745,
Xiaomi,Redmi X,4656,
Xiaomi,MI 3T,4564,
Xiaomi,MI-ONE Plus,4341,
Xiaomi,H3X,3850,
Xiaomi,Redmi 3,3233,
Xiaomi,Redmi Note/MI 3S/Redmi,2880,
Xiaomi,MI 2A(CT),2201,
Xiaomi,MI 3,2142,201206
Xiaomi,MI-ONE S,2026,
Xiaomi,MI 2S/MI 3,1934,
Xiaomi,MI 3C,1839,
Xiaomi,Redmi Note(CU),1681,
Xiaomi,MI 2013028,1484,
Xiaomi,Redmi  3LTE,1390,
Xiaomi,MI 2013122,1386,
Xiaomi,H2X,1338,
Xiaomi,Redmi Note/Redmi 1S,1237,
Xiaomi,Redmi 2S,1193,
Xiaomi,HM 2T,1112,
Xiaomi,Redmi 2W,1045,
Xiaomi,MI 2S/MI 3/Redmi 1s,1030,
Xiaomi,MI-ONE C1,804,
Xiaomi,Redmi 2T,626,
Xiaomi,Redmi 1s/H2X,503,
Xiaomi,MI 3C/MI 2S C,470,
Xiaomi,MI 3/Redmi 1S,419,
Xiaomi,MI-ONE,372,
Xiaomi,MI 2014022,363,
Xiaomi,MI 4(LTE),359,201206
Xiaomi,X7,290,
Xiaomi,X5,68,
Xiaomi,Redmi NOTE 3,48,
Xiaomi,X9,13,
