Nokia,105/1050,15252,
Nokia,101/1010,11082,
Nokia,1280/1282,10888,
Nokia,2610,10590,200606
Nokia,5233,8316,201006
Nokia,1208/1209,7623,
Nokia,1600,6788,200506
Nokia,5230,6228,200906
Nokia,1616,4720,200906
Nokia,206/2060,4687,
Nokia,E63,4350,200806
Nokia,107,4344,201306
Nokia,C1-02,4314,201211
Nokia,6300,4297,200706
Nokia,2220 Slide,4246,
Nokia,1202/1203,4174,
Nokia,100/1000,4067,
Nokia,3208 Classic,3934,
Nokia,1200,3753,
Nokia,E71,3401,200806
Nokia,5000,3336,200806
Nokia,1800,3015,201006
Nokia,2700 Classic,2892,
Nokia,Lumia 520,2842,201304
Nokia,112/1120,2825,
Nokia,Nokia 2730c,2817,200906
Nokia,1682 Classic,2636,
Nokia,7100 Supernova,2479,
Nokia,E66,2441,200806
Nokia,6030,2424,200506
Nokia,5800d-1,2395,
Nokia,5130 XpressMusic,2377,200906
Nokia,Lumia 920,2305,201211
Nokia,2320 Classic,2305,200906
Nokia,3110 Classic,2215,
Nokia,C7-00,2166,
Nokia,1681 Classic,2154,200806
Nokia,6020,2116,
Nokia,1116,2079,200706
Nokia,Nokia 7230,2010,201006
Nokia,C5-03,1964,201006
Nokia,1680 Classic,1955,
Nokia,E72-1,1900,
Nokia,7610,1887,200406
Nokia,1110,1865,200606
Nokia,202/2020,1815,
Nokia,1112,1744,200606
Nokia,C3-00,1703,201006
Nokia,N8-00,1696,
Nokia,108,1687,201309
Nokia,C1-01/C1-03,1683,
Nokia,C2-03/C2-06,1600,
Nokia,C2-05,1595,201106
Nokia,Lumia 630,1478,
Nokia,2690,1466,201006
Nokia,110/1100,1459,
Nokia,Lumia 1320,1456,201312
Nokia,Lumia 610,1438,201206
Nokia,106,1423,201306
Nokia,220,1418,201403
Nokia,N72/N72-5,1386,
Nokia,RM-910,1336,
Nokia,Lumia 1520,1294,201311
Nokia,1650,1192,
Nokia,1661,1191,200906
Nokia,Lumia 525,1167,201312
Nokia,5250,1165,201006
Nokia,E71-1,1154,
Nokia,C2-02,1147,201106
Nokia,5140i,1138,200506
Nokia,7260,1103,200406
Nokia,X1-01,1097,201106
Nokia,6060,1077,200506
Nokia,5310 XpressMusic,1062,
Nokia,X3-00,1043,200906
Nokia,Nokia X,1029,201403
Nokia,6120c,1017,200706
Nokia,N97 mini,1012,
Nokia,7360,981,200506
Nokia,305/3050,980,
Nokia,N73-5,968,
Nokia,5235,953,201006
Nokia,5300 XpressMusic,944,200606
Nokia,Lumia 1020,906,201307
Nokia,109/C1-02i,883,
Nokia,510,878,201206
Nokia,6070,877,200606
Nokia,Lumia 820,866,201209
Nokia,X6-00,866,
Nokia,2626,861,200706
Nokia,C6-00,857,201006
Nokia,1110i,850,200606
Nokia,2330 Classic,842,200906
Nokia,2680 Slide,838,
Nokia,C2-01,831,201106
Nokia,C1-00,814,201006
Nokia,3120,805,
Nokia,6303 Classic,782,
Nokia,2310,779,
Nokia,C5-00,778,201006
Nokia,5530 XpressMusic,729,200906
Nokia,N70/N70-5,728,
Nokia,6120ci,726,200906
Nokia,800,723,
Nokia,E63-1,717,
Nokia,X2-01/X2-03,709,
Nokia,710,706,201106
Nokia,2630,705,200706
Nokia,5800 XpressMusic,705,200906
Nokia,5030 XpressRadio,701,200906
Nokia,203/2030,701,
Nokia,208,690,201306
Nokia,RM-943,681,
Nokia,E5-00,661,201006
Nokia,X2-01,646,201006
Nokia,7070 Prism,646,200806
Nokia,5320 XpressMusic,645,200806
Nokia,RM-1035,622,
Nokia,6500 Slide,602,
Nokia,Asha 210,580,201304
Nokia,5110,580,200106
Nokia,C2-00,573,
Nokia,6700 Slide,571,
Nokia,C5-05,571,201106
Nokia,1100,561,200310
Nokia,3100,560,200306
Nokia,X2-00,558,201006
Nokia,5238,552,201006
Nokia,900,548,201206
Nokia,RM-1011,545,
Nokia,E52-1,543,
Nokia,E72,539,201006
Nokia,6700 Classic,533,
Nokia,Lumia 930,525,201408
Nokia,C2-06,513,201106
Nokia,C6-01,509,201006
Nokia,2322 Classic,508,
Nokia,6208 Classic,505,
Nokia,6120c-1,489,
Nokia,X2-02,485,201106
Nokia,RM-998,480,
Nokia,103/1030,478,
Nokia,N73-1,475,
Nokia,5800i XpressMusic,470,200906
Nokia,3220,470,200406
Nokia,6500 Classic,461,
Nokia,2700c/2700c-2,459,
Nokia,309/3090,458,
Nokia,2710 Classic,451,
Nokia,7610 Supernova,447,
Nokia,N78,443,200806
Nokia,Lumia 520T,443,201304
Nokia,7500 Prism,435,200706
Nokia,5200,431,
Nokia,Nokia X3-02,427,201006
Nokia,RM-1010,426,
Nokia,6108,424,
Nokia,N9,419,201106
Nokia,6681,407,
Nokia,RM-1027,406,
Nokia,tbd,405,
Nokia,Lumia 720,396,201302
Nokia,N81,393,200706
Nokia,C3-01,389,201006
Nokia,RM-1019,388,
Nokia,300/3000,375,
Nokia,N97-1/N97i,369,
Nokia,X2-05,363,201106
Nokia,Asha 500,362,201306
Nokia,RM-1061,356,
Nokia,2600 Classic,352,
Nokia,603,341,201106
Nokia,5070,340,200706
Nokia,2100,331,
Nokia,3500 Classic,317,
Nokia,5320d-1,316,
Nokia,RM-978,315,
Nokia,6670,312,200406
Nokia,8250,312,200106
Nokia,3310,309,201706
Nokia,N85,309,
Nokia,N86 8MP,308,
Nokia,N95,308,
Nokia,Lumia 620,307,201306
Nokia,7310 Classic,302,
Nokia,E66-1,293,
Nokia,Nokia XL,292,201404
Nokia,5610 XpressMusic,283,200706
Nokia,308/3080,275,
Nokia,RM-1030,274,
Nokia,302/3020,271,201206
Nokia,RM-1013,269,
Nokia,301,265,
Nokia,5220 XpressMusic,262,
Nokia,N86-1,255,
Nokia,201/2010,253,
Nokia,6303ci,251,201006
Nokia,N79,251,200806
Nokia,E6-00,247,201106
Nokia,2323 Classic,246,200906
Nokia,3108,245,200306
Nokia,515,243,201306
Nokia,Nokia 5330,242,200906
Nokia,6100,239,200206
Nokia,N85-1,236,
Nokia,Lumia 920T,228,201206
Nokia,2600,227,200406
Nokia,N78-1,223,
Nokia,8800 Arte,222,200706
Nokia,6500s-1,221,
Nokia,6111,220,200506
Nokia,N95-2,218,
Nokia,N70-1,214,
Nokia,X7-00,211,
Nokia,C1-01,206,201006
Nokia,X1-00,202,
Nokia,3600 Slide,197,
Nokia,7210 Classic,195,
Nokia,2720a,192,
Nokia,RM-997,188,
Nokia,Nokia 225,187,201406
Nokia,6270,181,200506
Nokia,E7-00,181,201106
Nokia,5236,181,201006
Nokia,N97,179,200906
Nokia,6210 Slide,176,
Nokia,C5-06,176,201106
Nokia,N95-1,176,
Nokia,N81-3,171,
Nokia,2300,164,200406
Nokia,N82,160,200706
Nokia,3230,158,
Nokia,6730 Classic,155,
Nokia,7270,155,200406
Nokia,5232,154,201006
Nokia,205/2050,153,
Nokia,6288,151,200706
Nokia,8600 Luna,143,200706
