SonyEricsson,LT18i,2989,201106
SonyEricsson,LT26i(Xperia S),2067,
SonyEricsson,LT26ii(Xperia SL),1129,
SonyEricsson,LT22i(Xperia P),1016,
SonyEricsson,Vivaz 2,928,201006
SonyEricsson,LT15i,836,201106
SonyEricsson,MT15i,669,201103
SonyEricsson,W810c,608,200606
SonyEricsson,X10i,597,201006
SonyEricsson,ST25i(Xperia U),580,
SonyEricsson,ST18i(Xperia Ray),559,201105
SonyEricsson,E15i,558,201006
SonyEricsson,K750c,519,
SonyEricsson,MT27i(Xperia sola),481,
SonyEricsson,W595c,422,200806
SonyEricsson,T707a,418,
SonyEricsson,J108i,409,201006
SonyEricsson,J100i,337,
SonyEricsson,W700c,335,200606
SonyEricsson,W550c,281,200506
SonyEricsson,Z558i,244,
SonyEricsson,K530c,220,
SonyEricsson,K700c,216,
SonyEricsson,S500c,191,200706
SonyEricsson,J105i,189,200909
SonyEricsson,Foma SO902iwp+,182,
SonyEricsson,W995,181,200906
SonyEricsson,W580c,177,
SonyEricsson,W508,172,200906
SonyEricsson,E16i,170,201106
SonyEricsson,M608c,152,
SonyEricsson,WT19i,151,201106
SonyEricsson,J20,150,201006
SonyEricsson,W715,148,200905
SonyEricsson,W595,141,200906
SonyEricsson,SO-03D(Xperia acro HD),137,201206
SonyEricsson,W20i,128,
SonyEricsson,MT11i(Xperia neo V),128,201108
SonyEricsson,K510c,124,
SonyEricsson,SK17i(Xperia mini pro),122,201104
SonyEricsson,W980,121,200806
SonyEricsson,Z1i,120,201106
SonyEricsson,W908c,116,
SonyEricsson,Z550,114,
SonyEricsson,W302,113,200806
SonyEricsson,J200i,113,
SonyEricsson,Z610i,111,
SonyEricsson,K550c,111,200706
SonyEricsson,T303,109,200806
SonyEricsson,U20i,109,201006
SonyEricsson,J110c,106,
SonyEricsson,LT28i(Xperia ion),102,
SonyEricsson,Prototype Series,101,
SonyEricsson,M1i,99,201006
SonyEricsson,W580i,97,
SonyEricsson,W800c,89,200506
SonyEricsson,U10i,88,
SonyEricsson,U5i,87,201006
SonyEricsson,T707,87,200906
SonyEricsson,Z780,85,
SonyEricsson,S312,82,
SonyEricsson,W910i,82,
SonyEricsson,A8i,75,201006
SonyEricsson,J120c,71,
SonyEricsson,K790i,69,
SonyEricsson,P1i,69,
SonyEricsson,T610,68,
SonyEricsson,MK16i,67,201106
SonyEricsson,WT18i(Walkman),66,201106
SonyEricsson,W830c,64,200606
SonyEricsson,M600i,63,200606
SonyEricsson,W950,63,200606
SonyEricsson,W300i,61,
SonyEricsson,W395c,59,200906
SonyEricsson,K310c,57,200606
SonyEricsson,K790c,55,
SonyEricsson,W350c,55,200806
SonyEricsson,K810i,54,
SonyEricsson,ST15i(Xperia mini),54,201106
SonyEricsson,S500i,51,200706
SonyEricsson,ST17i(Xperia active),50,201106
SonyEricsson,T238,50,
SonyEricsson,W380i,49,200706
SonyEricsson,W610c,47,200706
SonyEricsson,T618,47,200306
SonyEricsson,K530i,45,200706
SonyEricsson,P990i,44,
SonyEricsson,Z530c,43,
SonyEricsson,W888c,42,200706
SonyEricsson,W810i,42,200606
SonyEricsson,T290c,42,
SonyEricsson,U1i,41,
SonyEricsson,R306,40,200806
SonyEricsson,K610i,40,
SonyEricsson,SO-02C(Xperia acro),40,
SonyEricsson,W958c,40,200606
SonyEricsson,E10i,39,201006
SonyEricsson,P1c,39,
SonyEricsson,K700i,38,
SonyEricsson,W100i,38,201006
SonyEricsson,T628,37,
SonyEricsson,T715,36,200906
SonyEricsson,W200c,35,
SonyEricsson,S700i,35,
SonyEricsson,U1,34,200906
SonyEricsson,W660i,34,
SonyEricsson,K550i,33,200706
SonyEricsson,J220c,32,
SonyEricsson,K200c,30,
SonyEricsson,J10,29,201006
SonyEricsson,K818c,28,
SonyEricsson,T250i,28,
SonyEricsson,C510,27,
SonyEricsson,T658c,27,
SonyEricsson,U100i,27,
SonyEricsson,W200i,25,
SonyEricsson,K508c,25,
SonyEricsson,ST17a,24,
SonyEricsson,T700,22,
SonyEricsson,K800i,22,
SonyEricsson,X10a,21,
SonyEricsson,J210i,21,
SonyEricsson,Z300c,21,
SonyEricsson,Z520c,21,
SonyEricsson,J300c,21,
SonyEricsson,W710i,20,
SonyEricsson,T303i,19,
SonyEricsson,W150,19,201006
SonyEricsson,U8i,19,201006
SonyEricsson,Z300i,19,
SonyEricsson,W705,18,
SonyEricsson,G705a,18,
SonyEricsson,K300c,18,
SonyEricsson,J230c,18,
SonyEricsson,K220c,18,
SonyEricsson,Z750i,18,
SonyEricsson,W850,17,
SonyEricsson,G705,17,
SonyEricsson,K300i,16,
SonyEricsson,G700,16,200806
SonyEricsson,K500c,16,
SonyEricsson,K770i,16,
SonyEricsson,T630,15,
SonyEricsson,SO-01B,15,
SonyEricsson,S51SE,15,
SonyEricsson,J200c,14,
SonyEricsson,T650i,14,
SonyEricsson,C901,14,
SonyEricsson,P900,14,
SonyEricsson,X1i,14,
SonyEricsson,C902c,14,
SonyEricsson,Z710i,14,
SonyEricsson,W850i,14,
SonyEricsson,W350a,14,
SonyEricsson,TM717,14,
SonyEricsson,MD400g,14,
SonyEricsson,S302,13,200806
SonyEricsson,W880i,13,
SonyEricsson,Z208,13,
SonyEricsson,K850i,13,
SonyEricsson,LT18a,13,
SonyEricsson,C902,13,200806
SonyEricsson,Jalou,13,
SonyEricsson,Z600,12,
SonyEricsson,D750i,12,
SonyEricsson,CK15i,12,201106
SonyEricsson,W350i,12,
SonyEricsson,W508a,11,
SonyEricsson,W760c,11,
SonyEricsson,W380c,10,
SonyEricsson,GR64,10,
SonyEricsson,J20i,10,
SonyEricsson,W518a,9,
SonyEricsson,J108a(Cedar),9,
SonyEricsson,W900i,9,200506
SonyEricsson,W995a,9,
SonyEricsson,Z310c,9,
SonyEricsson,C702c,8,200806
SonyEricsson,P910c,8,
SonyEricsson,F500i,7,
SonyEricsson,LT28at,7,
SonyEricsson,T602,7,
SonyEricsson,W595s,7,
SonyEricsson,T290i,7,
SonyEricsson,K600i,7,
SonyEricsson,K205i,7,
SonyEricsson,Z520i,7,
SonyEricsson,LT29i(Xperia TX),7,
SonyEricsson,T230,7,
SonyEricsson,G502,7,
SonyEricsson,K330,7,
SonyEricsson,C903a,7,
SonyEricsson,K310i,7,
SonyEricsson,G502c,7,
SonyEricsson,R300,7,
SonyEricsson,K320i,7,
SonyEricsson,C903,7,
SonyEricsson,C905a,7,
SonyEricsson,P802,7,
SonyEricsson,Z770i,7,
SonyEricsson,C702,6,200806
SonyEricsson,Z800i,6,
SonyEricsson,X5,6,200906
SonyEricsson,K508i,5,
SonyEricsson,W150i/W150,5,
SonyEricsson,F305,4,
SonyEricsson,Z750a,4,
SonyEricsson,W380a,3,
SonyEricsson,W960i,3,
SonyEricsson,W890i,2,
SonyEricsson,C905,2,200806
SonyEricsson,Z550i,2,
SonyEricsson,J110i,2,
SonyEricsson,K200i,1,
SonyEricsson,K506c,1,
