LG,GD580,2189,200906
LG,Nexus 5,1292,201506
LG,LG-E960,1128,201206
LG,TB290,885,201106
LG,KF350,819,
LG,KP500,791,200806
LG,GS101,727,201006
LG,GB101/GB101b,693,
LG,G2,602,201306
LG,LG-A100,599,201106
LG,KP108,525,200806
LG,GD310,500,200906
LG,FOMA L601i,481,
LG,LG-P970,425,201106
LG,LG-D857,395,
LG,LG-P503,359,201006
LG,GS100,352,201006
LG,LG-P705(Optimus L7),328,201206
LG,LG-D821,308,
LG,BL20e,293,200906
LG,TB200,277,200906
LG,GS205,273,201006
LG,GS290,259,
LG,LG-P880,225,201206
LG,LG-A200,216,
LG,LG-D820,206,
LG,LG-E510,204,201106
LG,LG-F240L,201,201306
LG,LG-D802,181,
LG,GS500v,176,201006
LG,KP502,160,201006
LG,LG-A108,159,201106
LG,LG-P990,151,201106
LG,LG-T500,150,
LG,G3,143,201406
LG,LG-P355,133,201106
LG,LG-A190,121,
LG,KG70,116,200706
LG,LG-P690,115,201106
LG,LG-L22,115,201306
LG,LG-T320,113,201006
LG,GD350,109,201006
LG,LG-S310,108,201006
LG,LG-LU6200,108,201106
LG,LG-A250,108,
LG,LG-E400(Optimus L3),108,201206
LG,KW820,107,200706
LG,KS360,107,200806
LG,LG-F240K,104,
LG,LG-C660,104,201106
LG,LG-T310,102,201006
LG,KF300,100,200806
LG,KP100,99,200806
LG,LG-P920,96,201106
LG,LG-D859,96,
LG,LG-P350,94,201106
LG,LG-F320S,91,
LG,KF300e,90,200806
LG,KP180,90,201006
LG,LG-F180L,89,201206
LG,B1200,89,
LG,LG-C330,87,
LG,LG-F160L,85,201206
LG,G Flex,83,201606
LG,KS1302,82,
LG,LG-D838,82,201406
LG,KP160,81,200806
LG,LG-C550,80,201106
LG,LG-P940,80,201106
LG,LG-E730,78,201106
LG,LG-F200K,76,
LG,KC550,74,200806
LG,LG-C360,74,201106
LG,LG-D858,73,
LG,KG129,73,200706
LG,KE850,69,200706
LG,LG-E988,65,
LG,DS1203,65,
LG,LG-F200S,64,
LG,KU990 Viewty,64,
LG,KF510,63,200806
LG,LG-F160LV,61,
LG,GD330/GD330Q,60,
LG,LG-F320L,60,
LG,KP168,59,200906
LG,LG-S360/LG-S365,58,
LG,LG-F460S,58,
LG,LG-P698,58,
LG,LG-P765,57,201206
LG,LG-D858HK,57,
LG,GT505e,56,200906
LG,LG-P705,55,201206
LG,KG77,54,200706
LG,KF330,54,
LG,LG-E975,52,201206
LG,LG-F200L,52,201206
LG,LG-F160K,51,
LG,L704ix,51,
LG,LG-F240S,50,
LG,KG90,50,200606
LG,F100L,49,201206
LG,KM330,48,200906
LG,KF305,47,201006
LG,KF600,47,
LG,GD300s,46,200906
LG,GD510,46,200906
LG,KP190,45,200806
LG,GX500,44,201006
LG,KP169,43,
LG,KE970,43,200706
LG,MG377b,42,
LG,KE858,39,200706
LG,LG-F320K,38,
LG,LG-F460L,38,201406
LG,KF240,37,200806
LG,LG-F160S,36,
LG,LG-F300,36,
LG,LG-T300,35,201006
LG,LG-D855,35,
LG,KG289,34,
LG,GD550e,33,201006
LG,G622,33,200506
LG,LG-VS980,33,
LG,G820,33,
LG,LG-C300,33,201006
LG,LG-E612(Optimus L5),32,201206
LG,LG-E975w,32,201206
LG,KM900e Arena,32,200906
LG,LG-P509,32,
LG,LG-F350,32,
LG,BL20/BL20v,31,
LG,LG-F220K,31,201306
LG,LG-F180S,31,
LG,KG800,30,200606
LG,LG-F400L,30,
LG,LG-F400S,30,
LG,KP501,30,200906
LG,LG-F100S,30,
LG,KM900 Arena,30,200906
LG,GD880,29,201006
LG,LG-MS500,29,
LG,LG-F400K,29,
LG,GB230,28,200906
LG,LG-P693,28,201106
LG,KG278,28,200706
LG,G510,27,
LG,LG-P520,26,201006
LG,GD900,26,200906
LG,KE970 Shine,25,
LG,KP105,25,200906
LG,LG-F180K,25,
LG,LG-F260S,24,201306
LG,LG-E405f,23,
LG,G828,23,
LG,KC910,23,200806
LG,KF700,22,200806
LG,KW838,22,200806
LG,LG-VS985,22,
LG,KE508,22,
LG,GM360,22,201006
LG,LG-E970,21,201206
LG,KG920,21,
LG,LG-E400,21,201206
LG,GT350,20,201006
LG,LG-C320,20,201006
LG,KF690,20,200806
LG,LG-SU640,19,201106
LG,KS660,19,200906
LG,LG-P769,18,
LG,KT878,17,200906
LG,KG328,17,200606
LG,LG-P715,17,
LG,LG-H818,17,
LG,L-07C,16,
LG,GT505,16,200906
LG,LG-P713(Optimus L7 II),16,
LG,KC910e,16,
LG,S300,15,
LG,KM380,15,200806
LG,LG-D690,15,
LG,G232,15,200506
LG,LG-SU660,15,
LG,KP505,15,
LG,LG-KH2200,14,
LG,LG-D686,14,
LG,GR700,14,
LG,G672,14,200506
LG,LG-P930,14,201106
LG,LG-P500,14,201006
LG,CU720,14,
LG,LG-E739/LG-E739KW,14,
LG,KM380T,14,
LG,L-01D,14,
LG,LG-P700,14,
LG,GC900e,14,
LG,GX200,14,201006
LG,U250,13,
LG,LG-MS323,13,
LG,KE998,13,200706
LG,LG-P655,13,
LG,KG118,13,200606
LG,KG248,13,200606
LG,G282,12,200510
LG,LG-VS950,12,
LG,Optimus L90,12,
LG,LG-F340,12,
LG,DS1107,12,
LG,LG-P970S,12,
LG,LG-LS980,12,
LG,GB109,12,200906
LG,G800,12,
LG,LG-P993,11,201106
LG,LG-F470K,11,
LG,LG-H959,11,
LG,KD876,11,200806
LG,LG-P895,10,201206
LG,GT540,10,201006
LG,W800,10,200406
LG,LG-E435,10,
LG,G259,9,200506
LG,L70,9,201406
LG,GM210,9,200906
LG,E980,9,
LG,EG890A,9,
LG,KF301,9,
LG,KG298,8,200706
LG,LG-A170,8,
LG,LG-T325,8,201006
LG,G810,8,200406
LG,LG-H778,8,
